AUNumber,PubSchOrBranchNumber,NCESIdNumber,AddressLine1,AddressLine2,AddressCity,AddressStatePostalCd,AddressZipCd,AddressZipCdP4,AgencyTypeDesc,LocaleCodeFK
400002139,0,NULL,114 West Fifth Street,,East Liverpool,OH,43920,"    ",PRIVLIC,NULL
400002179,0,NULL,"5700 Southern Blvd, Suite 100",,Virginia Beach,VA,23462,"    ",PRIVLIC,NULL
400002229,0,NULL,"535 Route 38 East, Suite 170A",,Cherry Hill,NJ,08002,"    ",PRIVLIC,NULL
400002428,0,"126669 ",8787 West Alameda Avenue,,Lakewood,CO,80226,"    ",NULL,NULL
400002488,0,"206288 ",4501 Denlinger Rd.,,Dayton,OH,45426,2308,NULL,NULL
400002523,0,"191320 ",175 Ninth Ave,,New York,NY,10011,"    ",NULL,NULL
400002972,0,"130226 ",Mt Carmel Ave,,Hamden,CT,06518,"    ",NULL,NULL
400003104,0,NULL,"                              ","                              ","St Bonaventure                ",NY,14778,"    ",OTHCU,NULL
400003109,0,NULL,"955 Route 5                   ","                              ","Utica                         ",NY,13502,"    ",PRIVLIC,NULL
400003114,0,NULL,1625 W. Fountainhead Parkway,,Tempe,AZ,85282,2371,OTHCU,NULL
400003114,1,NULL,Regus,651 Holiday Drive,Pittsburgh,PA,15200,"    ",OTHCU,NULL
400003114,2,NULL,919 N. 2nd St,,Harrisburg,PA,17101,"    ",OTHCU,NULL
400003114,3,NULL,University of Phoenix Philadelphia Campus,170 S. Warner Road,Wayne,PA,19087,2121,OTHCU,NULL
400003114,5,NULL,Renaissance Philadelphia Hotel,500 Stevens Drive,Philadelphia,PA,19113,"    ",OTHCU,NULL
400003114,6,NULL,University of Phoenix Philadelphia Campus,170 S. Warner Road,Wayne,PA,19087,2121,OTHCU,NULL
400003114,7,NULL,Embassy Suites Hotel,9000 Bartram Avenue,Philadelphia,PA,19153,"    ",OTHCU,NULL
400003114,8,NULL,Sheraton Four Points,910 Sheraton Drive,Cranberrry,PA,19160,9414,OTHCU,NULL
400003114,11,NULL,Park Inn of Delaware County,Route 1 and Route 202,Concordville,PA,19331,"    ",OTHCU,NULL
400003114,12,NULL,University of Phoenix - Philadelphia Center City C,30 S. 17th Street,Philadelphia,PA,19103,4001,OTHCU,NULL
400003114,13,NULL,University of Phoenix Philadelphia Campus,170 S Warner Road,Wayne,PA,19087,2121,OTHCU,NULL
400003114,14,NULL,Quest Diagnostics,1201 South Collegeville Road,Collegeville,PA,19426,2998,OTHCU,NULL
400003114,15,NULL,Hotel Sofitel,120 South 17th Street,Philadelphia,PA,19103,"    ",OTHCU,NULL
400003114,16,NULL,1170 Devon Park Drive,,Wayne,PA,19087,"    ",OTHCU,NULL
400003114,18,NULL,Penn Center West,"Building Six, Suite 100",Pittsburgh,PA,15276,"    ",OTHCU,NULL
400003114,19,NULL,Radisson Hotel Pittsburgh,101 Mall Boulevard,Monroeville,PA,15146,"    ",OTHCU,NULL
400003114,20,NULL,Robinson/Main Learning Center,"Penn Center West Six, Suite 100",Pittsburgh,PA,15276,"    ",OTHCU,NULL
400003114,21,NULL,University of Phoenix Philadelphia Campus,170 S. Warner Road,Wayne,PA,19087,2121,OTHCU,NULL
400003114,22,NULL,Wyndham Garden Harrisburg,765 Eisenhower Blvd,Harrisburg,PA,17111,2308,OTHCU,NULL
400003114,23,NULL,Robinson\Main Learning Center,"Penn Center West Six, Suite 100",Pittsburgh,PA,15276,"    ",OTHCU,NULL
400003114,24,NULL,Monroeville Convention Center,101 Mall Boulevard,Monroeville,PA,15146,"    ",OTHCU,NULL
400003114,25,NULL,500 Mansfield Avenue,,Pittsburgh,PA,15205,"    ",OTHCU,NULL
400003114,26,NULL,1565 Main Street,,Warrington,PA,18976,3400,OTHCU,NULL
400003459,0,"367079 ","3603 East Raymond Street      ","                              ","Indianapolis                  ",IN,46203,"    ",PRIVLIC,NULL
400003870,0,"204468 ",4545 College Rd,,Cleveland,OH,44121,4293,NULL,NULL
400004104,0,NULL,11400 Robinwood Drive,,Hagerstown,MD,21742,6590,OTHCU,NULL
400004159,0,NULL,"6940 Carroll Avenue           ","                              ","Takoma Park                   ",MD,20912,"    ",PRIVLIC,NULL
400004190,0,"456667 ",4605 Duke Dr,,Mason,OH,45040,"    ",NULL,NULL
400004439,0,"244233 ",2000 W. Commerical Boulevard,,Fort Lauderdale,FL,33309,"    ",NULL,NULL
400004721,0,"414531 ",1615 75th Street Sw- Suite 220,,Everett,WA,98203,"    ",NULL,NULL
400005104,0,"143233 ",615 National Road West,,Richmond,IN,47374,4095,OTHCU,NULL
400005142,0,"190080 ",1100 S Goodman St,,Rochester,NY,14620,2589,NULL,NULL
400005369,0,"249566 ","1688 North Pricetown Rd,  SR 534",PO Box 506,Lake Milton,OH,44429,"    ",PRIVLIC,NULL
400005419,0,NULL,"2901 E Mill Plain Blvd        ","                              ","Vancouver                     ",WA,98661,"    ",AO,NULL
400005419,100,NULL,"2326 Mill Park Drive          ","                              ","St Louis County               ",MO,63043,"    ",PRIVLIC,NULL
400005419,200,NULL,"8955 Guideford Road           ","                              ","Columbia                      ",MD,21046,"    ",PRIVLIC,NULL
400005509,0,NULL,"2246 Federal Blvd             ","                              ","Denver                        ",CO,80211,"    ",AO,NULL
400005599,0,NULL,"2300 N.W. 135th Street        ","                              ","Miami                         ",FL,33167,"    ",PRIVLIC,NULL
400006039,0,NULL,"Main St. Plaza 1000, Suite 310","                              ","Voorhees                      ",NJ,08043,"    ",AO,NULL
400006169,0,NULL,9325 Snowden River Parkway,,Columbia,MD,21046,"    ",PRIVLIC,NULL
400006179,0,NULL,"                              ","100 Canal Pointe Blvd         ","Princeton                     ",NJ,08540,"    ",PRIVLIC,NULL
400006187,0,"185378 ","2100 Haddonfield Rd           ","                              ","Pennsauken                    ",NJ,08110,"    ",PRIVLIC,NULL
400006188,0,"178226 ",8501 W. Higgins Road Suite 100,,Chicago,IL,60631,"    ",NULL,NULL
400006189,0,NULL,"1000 Howard Blvd              ","Ste 200                       ","Mt Laurel                     ",NJ,08054,"    ",PRIVLIC,NULL
400006199,0,"185396 ",2299 Vauxhall Road,,Union,NJ,07083,"    ",PRIVLIC,NULL
400006209,0,"367334 ",PO Box 208,4650 Buckley Road,Liverpool,NY,13088,0208,PRIVLIC,NULL
400006229,0,"375106 ","175 Katherine Street          ","                              ","Buffalo                       ",NY,14210,"    ",PRIVLIC,NULL
400006236,0,"220862 ",,,Memphis,TN,38152,"    ",NULL,NULL
400006604,0,"136215 ",3301 College Avenue,,Fort Lauderdale-Davie,FL,33314,7796,OTHCU,NULL
400006604,2510,NULL,NW PA Collegiate Academy,2825 State Street,Erie,PA,16508,"    ",OTHCU,NULL
400006604,2520,NULL,c/o Hampton Inn,1329 Bristol Pike,Bensalem,PA,19020,"    ",OTHCU,NULL
400006604,2530,NULL,c/o Holy Family University-Newton Campus,1 Campus Drive,Newtown,PA,18940,0992,OTHCU,NULL
400006604,2540,NULL,"                              ","                              ","Mars                          ",PA,16046,"    ",OTHCU,NULL
400006604,2550,NULL,,,Langhorn,PA,18940,0992,OTHCU,NULL
400006604,2560,NULL,Radisson Hotel,100 Pine Street,Williamsport,PA,17701,"    ",OTHCU,NULL
400006604,2570,"215215 ",C/O Eastern University,1300 Eagle Rd,St Davids,PA,19087,3696,OTHCU,NULL
400006604,2573,NULL,c/o Chambersburg Area School District Offices,435 Stanley Avenue,Chambersburg,PA,17201,"    ",OTHCU,NULL
400006614,0,"159656 ",6363 Saint Charles Avenue,,New Orleans,LA,70118,6195,OTHCU,NULL
400006654,0,"207403 ",500 West University,,Shawnee,OK,74801,2590,OTHCU,NULL
400006806,0,"200226 ",330 Third Street NE,,Mayville,ND,58257,1299,NULL,NULL
400006830,0,"436836 ",One University Place,,Stamford,CT,06901,2315,NULL,NULL
400007259,0,NULL,"2555 East University Drive    ","                              ","Phoenix                       ",AZ,85034,"    ",PRIVLIC,NULL
400007290,0,"227368 ",1201 W University Dr,,Edinburg,TX,78539,2999,NULL,NULL
400007320,0,"174075 ",2900 University Ave,,Crookston,MN,56716,5001,NULL,NULL
400007489,0,"162760 ",401 Rosemont Ave,,Frederick,MD,21701,"    ",NULL,NULL
400007584,0,"240790 ",,,,,"     ","    ",NULL,NULL
400007614,0,"238032 ",PO Box 6800,,Morgantown,WV,26506,6800,NULL,NULL
400007709,0,NULL,Room 214,11495 Natural Bridge Road,St Louis,MO,63044,9842,AO,NULL
400008019,0,NULL,2001 Lowe Street,,Fort Collins,CO,80525,"    ",PRIVLIC,NULL
400008104,0,"107044 ","Box 12256                     ","                              ","Searcy                        ",AR,72149,"    ",OTHCU,NULL
400008114,0,"123961 ",University Park,,Los Angeles,CA,90089,"    ",NULL,NULL
400008239,0,"164155 ",,,Annapolis,MD,21402,5000,NULL,NULL
400008379,0,NULL,9751 Delegates Drive,,Orlando,FL,32837,"    ",PRIVLIC,NULL
400008809,0,"073018 ","6465 Wayzata Blvd, Suite 240",,Minneapolis,MN,55436,"    ",PRIVLIC,NULL
400008970,0,"235024 ",1000 Lenora Street,,Seattle,WA,98121,"    ",NULL,NULL
400009014,0,"384412 ","4000 Chesapeake Street,NW",,Washington,DC,20016,1860,OTHCU,NULL
400009119,0,NULL,"1028 Main Street              ","                              ","Buffalo                       ",NY,14202,"    ",PRIVLIC,NULL
400009129,0,NULL,"331 Cutters Hill Crt          ","                              ","Lexington                     ",KY,40599,"    ",PRIVLIC,NULL
400009164,0,"196592 ",27 -33 W. 23rd Street,,New York,NY,10010,"    ",OTHCU,NULL
400009174,0,"173179 ",3949 Bethel Drive,,St Paul,MN,55112,6998,NULL,NULL
400009239,0,NULL,"3787 Main Street              ","                              ","Bridgeport                    ",CT,06606,"    ",PRIVLIC,NULL
400009249,0,NULL,"460 South Lipan Street        ","                              ","Denver                        ",CO,80223,"    ",PRIVLIC,NULL
400009259,0,NULL,Highland Landmark V,"3005 Highland Parkway, Suite 700",Downers Grove,IL,60515,5683,OTHCU,NULL
400009259,110,"104531 ",2149 West Dunlap,,Phoenix,AZ,85021,2995,PRIVLIC,NULL
400009259,120,"139533 ","250 North Arcadia Avenue      ","                              ","Decatur                       ",GA,30030,"    ",PRIVLIC,NULL
400009259,130,NULL,"3300 North Campbell Avenue    ","                              ","Chicago                       ",IL,60618,"    ",PRIVLIC,NULL
400009259,140,"184269 ","630 US Highway One            ","                              ","North Brunswick               ",NJ,08902,3362,PRIVLIC,NULL
400009259,150,"202541 ",1350 Alum Creek Drive,,Columbus,OH,43209,2705,PRIVLIC,NULL
400009259,160,NULL,"4250 North Beltline Road      ","                              ","Irving                        ",TX,75062,"    ",PRIVLIC,NULL
400009259,161,NULL,1140 Virginia Drive,,Fort Washington,PA,19034,3204,OTHCU,NULL
400009259,162,NULL,701 Lee Road,Suite 103,Chesterbrook,PA,19087,5612,OTHCU,NULL
400009259,163,NULL,1800 JFK Boulevard,Suite 1200,Philadelphia,PA,19103,"    ",OTHCU,NULL
400009259,164,NULL,210 Sixth Avenue,Suite 200,Pittsburgh,PA,15222,9123,OTHCU,NULL
400009259,256,NULL,150 Allendale Road,Suite 3250,King of Prussia,PA,19406,"    ",OTHCU,NULL
400009309,0,"190974 ","180 Clemens Center Parkway    ","                              ","Elmira                        ",NY,14901,"    ",PRIVLIC,NULL
400009339,0,"200590 ","2076 Youngstown-Warren Road   ","                              ","Niles                         ",OH,44446,"    ",PRIVLIC,NULL
400009349,0,"202684 ","1700 East 13th Street         ","                              ","Cleveland                     ",OH,44114,"    ",PRIVLIC,NULL
400009359,0,"162371 ","PO Box 69                     ","Route 40                      ","Grantsville                   ",MD,21536,"    ",PRIVLIC,NULL
400009409,0,"162681 ","18618 Crestwood Drive         ","                              ","Hagerstown                    ",MD,21742,"    ",PRIVLIC,NULL
400009499,0,NULL,"220 North Main Street         ","                              ","Hudson                        ",OH,44236,"    ",PRIVLIC,NULL
400009509,0,NULL,61 North  Maple Avenue,,Ridgewood,NJ,07450,0621,AO,NULL
400009529,0,"221148 ",1524 Gallatin Road,,Nashville,TN,37206,3298,PRIVLIC,NULL
400009539,0,NULL,"1732 Reynolds                 ","                              ","Irvine                        ",CA,92714,"    ",AO,NULL
400009549,0,NULL,"P.O. Box 160                  ","                              ","Haddonfield                   ",NJ,08033,"    ",AO,NULL
400009559,0,NULL,"One Spruce Avenue             ","                              ","Kirkwood                      ",NJ,08043,"    ",PRIVLIC,NULL
400009559,100,NULL,"Ramada Inn                    ","76 Industrial Highway         ","Essington                     ",PA,19029,"    ",PRIVLIC,NULL
400009569,0,NULL,"1988 McCartney Road           ","                              ","Youngstown                    ",OH,44505,"    ",PRIVLIC,NULL
400009589,0,NULL,"955 S Chapel St               ","                              ","Newark                        ",DE,19714,"    ",PRIVLIC,NULL
400009589,100,NULL,"6600 Busch Boulevard #100     ","                              ","Columbus                      ",OH,43229,"    ",PRIVLIC,NULL
400009589,200,NULL,"#2 Cameron Village            ","                              ","Ripley                        ",WV,25271,"    ",PRIVLIC,NULL
400009589,300,NULL,1800 Pennsylvania Avenue,,Wilmington,DE,19806,3026,PRIVLIC,NULL
400009629,0,NULL,PO Box 50466,,Indianapolis,IN,46250,0466,AO,NULL
400009629,110,"206631 ",1030 North Meridian Road,,Youngstown,OH,44509,4098,PRIVLIC,NULL
400009639,0,NULL,"1221 Northwest 21st Avenue    ","                              ","Portland                      ",OR,97209,"    ",PRIVLIC,NULL
400009659,0,"204608 ",1374 East 51st Street,,Cleveland,OH,44103,1269,PRIVLIC,NULL
400009663,0,"141264 ",1500 N Patterson,,Valdosta,GA,31698,"    ",NULL,NULL
400009679,0,NULL,"500 South Fourth Street       ","                              ","Minneapolis                   ",MN,55415,"    ",PRIVLIC,NULL
400009699,0,"194897 ","The Charlestown Complex       ","311 Turner Street Suite 100   ","Utica                         ",NY,13501,"    ",PRIVLIC,NULL
400009709,0,NULL,"24th Floor                    ","575 Lexington Avenue          ","New York                      ",NY,10022,"    ",AO,NULL
400009717,0,"388520 ",7000 Regency Square Blvd.,,Houston,TX,77036,3211,NULL,NULL
400009729,0,"137379 ","                              ","233 Academy Drive             ","Kissimmee                     ",FL,34744,"    ",PRIVLIC,NULL
400009739,0,NULL,"2959 Barber Road              ","                              ","Barberton                     ",OH,44203,"    ",PRIVLIC,NULL
400009759,0,NULL,"6690 Germantown Road          ","                              ","Middletown                    ",OH,45042,"    ",PRIVLIC,NULL
400009769,0,NULL,"PO Box 40981                  ","                              ","Indianapolis                  ",IN,46240,"    ",AO,NULL
400009769,110,NULL,"Suite 150                     ","1817 N Seventh Street         ","Phoenix                       ",AZ,85006,"    ",PRIVLIC,NULL
400009769,120,NULL,"6101 Airport Road             ","                              ","Levittown                     ",PA,19057,"    ",PRIVLIC,NULL
400009769,140,NULL,"3607 Rosemont Avenue          ","                              ","Camp Hill                     ",PA,17011,"    ",PRIVLIC,NULL
400009815,0,"443128 ",756 San Aleso Avenue,,Sunnyvale,CA,94085,"    ",NULL,NULL
400009819,0,NULL,"325 North Taylor Road         ","                              ","Garrett                       ",IN,46738,"    ",PRIVLIC,NULL
400009829,0,"192004 ",PO Box 429,7 Fairmount Avenue,Jamestown,NY,14702,0429,PRIVLIC,NULL
400009859,0,"237996 ",148 Willey Street,,Morgantown,WV,26505,5521,PRIVLIC,NULL
400009859,100,"261861 ",1015 Industrial Park Drive,PO Box 278,Mount Braddock,PA,15465,"    ",PRIVLIC,NULL
400009909,0,NULL,"Route 130 South               ","                              ","Cinnaminson                   ",NJ,08077,"    ",PRIVLIC,NULL
400009919,0,NULL,Box 6399,3250 US Highway 19 North,Clearwater,FL,34618,6399,PRIVLIC,NULL
400009929,0,NULL,"831 Hercules Avenue           ","                              ","Clearwater                    ",FL,34625,"    ",PRIVLIC,NULL
400009939,0,NULL,"3255 US 19 North              ","                              ","Clearwater                    ",FL,34621,"    ",PRIVLIC,NULL
400260460,0,"155399 ",Col of Ed Kan Career,,Manhattan,KS,66506,"    ",NULL,NULL
401000278,0,"217864 ",171 Moultrie St,,Charleston,SC,29409,"    ",NULL,NULL
401000369,0,"175430 ",201 W Main St,,Blue Mountain,MS,38610,9509,NULL,NULL
401000705,0,"196219 ",735 Anderson Hill Rd,,Purchase,NY,10577,1400,NULL,NULL
401001558,0,"180878 ",5035 Everett,,Lincoln,NE,68506,1299,NULL,NULL
401002393,0,"148511 ",600 S. Paulina St. STE 440,,Chicago,IL,60612,"    ",NULL,NULL
401002501,0,"197221 ",298 Crescent Beach Rd,,Glen Cove,NY,11542,1398,NULL,NULL
401002563,0,"228644 ",7703 Floyd Curl Dr,,San Antonio,TX,78229,3900,NULL,NULL
401002668,0,"181428 ",987815 Nebraska Medical Ctr,,Omaha,NE,68198,7815,NULL,NULL
401003199,0,"121309 ",3900 Lomaland Dr,,San Diego,CA,92106,2899,NULL,NULL
401003745,0,"197197 ",One Campus Rd,,Staten Island,NY,10301,4495,NULL,NULL
401003774,0,"117168 ",2222 Laguna Canyon Rd,,Laguna Beach,CA,92651,"    ",NULL,NULL
401004056,0,"139764 ",800 Georgia Southwestern State University Dr.,,Americus,GA,31709,4693,NULL,NULL
401004447,0,"185129 ",2039 Kennedy Blvd,,Jersey City,NJ,07305,"    ",NULL,NULL
401004905,0,"232423 ",800 South Main Street,,Harrisonburg,VA,22807,"    ",NULL,NULL
401005949,0,"231174 ",85 S Prospect St,,Burlington,VT,05405,0160,NULL,NULL
401006475,0,"234173 ",1584 Wesleyan Dr,,Norfolk,VA,23502,5599,NULL,NULL
401006554,0,"153144 ",1220 First Ave NE,,Cedar Rapids,IA,52402,5092,NULL,NULL
401007033,0,"195030 ",203 Wallis Hall,,Rochester,NY,14627,0011,NULL,NULL
401007326,0,"107080 ",1600 Washington Ave,,Conway,AR,72032,3080,NULL,NULL
401007448,0,"110644 ",One Shields Avenue,,Davis,CA,95616,8678,NULL,NULL
401007602,0,"199184 ",1533 South Main St.,,Winston-Salem,NC,27117,2189,NULL,NULL
401007734,0,"225885 ",Hwy 80 E,,Hawkins,TX,75765,1470,NULL,NULL
401007783,0,"445434 ",805 Wells Rd,,Orange Park,FL,32073,"    ",NULL,NULL
401008059,0,"435000 ",1501 Kings Hwy,,Shreveport,LA,71103,"    ",NULL,NULL
401008209,0,"449481 ",1000 NE 16th Ave.- Building F,,Gainesville,FL,32601,"    ",NULL,NULL
401008450,0,"446677 ",755 S Main St,,Logan,UT,84321,"    ",NULL,NULL
401008481,0,"199157 ",1801 Fayetteville Street,,Durham,NC,27707,"    ",NULL,NULL
401008754,0,"448840 ",140 Seventh Ave S.,,St. Petersburg,FL,33701,9807,NULL,NULL
401009088,0,"448628 ",7619 Little River Turnpike- 5th Floor,,Annandale,VA,22003,"    ",NULL,NULL
401009256,0,"164562 ",500 Salisbury St,,Worcester,MA,01609,1296,NULL,NULL
401261049,0,NULL,140 N. Beeson Blvd.,,Uniontown,PA,15401,"    ",PRIVLIC,NULL
401262179,0,NULL,"     and Safety Institute, Inc","832 Airport Rd                ","Lemont Furnace                ",PA,15456,"    ",PRIVLIC,NULL
401262189,0,NULL,P O Box 7,Filbert/Orient Rd,Cardale,PA,15420,0007,PRIVLIC,NULL
401262199,0,NULL,40-46 Connellsville Street,,Uniontown,PA,15401,"    ",PRIVLIC,NULL
401262307,0,"250391 ",100 New Salem Rd/Uniontown Ctr,"                              ","Uniontown                     ",PA,15401,"    ",PRIVLIC,NULL
