RegionType,RegionName,CountyName,CountyFIPS_3,StateFIPSCd
PAEconomicDevelopmentRegion,Northwest,McKean County,083,42
PAEconomicDevelopmentRegion,Northwest,Mercer County,085,42
PAEconomicDevelopmentRegion,Central,Mifflin County,087,42
PAEconomicDevelopmentRegion,Lehigh Valley,Monroe County,089,42
PAEconomicDevelopmentRegion,Southeast,Montgomery County,091,42
PAEconomicDevelopmentRegion,Northeast,Montour County,093,42
PAEconomicDevelopmentRegion,Lehigh Valley,Northampton County,095,42
PAEconomicDevelopmentRegion,Lehigh Valley,Northumberland County,097,42
PAEconomicDevelopmentRegion,Central,Perry County,099,42
PAEconomicDevelopmentRegion,Southeast,Philadelphia County,101,42
PAEconomicDevelopmentRegion,Northeast,Pike County,103,42
PAEconomicDevelopmentRegion,Northwest,Potter County,105,42
PAEconomicDevelopmentRegion,Northeast,Schuylkill County,107,42
PAEconomicDevelopmentRegion,Lehigh Valley,Snyder County,109,42
PAEconomicDevelopmentRegion,Southwest,Somerset County,111,42
PAEconomicDevelopmentRegion,Northeast,Sullivan County,113,42
PAEconomicDevelopmentRegion,Northeast,Susquehanna County,115,42
PAEconomicDevelopmentRegion,Northeast,Tioga County,117,42
PAEconomicDevelopmentRegion,Lehigh Valley,Union County,119,42
PAEconomicDevelopmentRegion,Northwest,Venango County,121,42
PAEconomicDevelopmentRegion,Northwest,Warren County,123,42
PAEconomicDevelopmentRegion,Southwest,Washington County,125,42
PAEconomicDevelopmentRegion,Northeast,Wayne County,127,42
PAEconomicDevelopmentRegion,Southwest,Westmoreland County,129,42
PAEconomicDevelopmentRegion,Northeast,Wyoming County,131,42
PAEconomicDevelopmentRegion,Central,York County,133,42
